NumThreads,Time
1,1953.430000
1,1950.350000
1,1946.950000
1,1947.850000
1,1946.440000
1,1956.230000
1,1951.750000
1,1951.100000
1,1946.210000
1,1946.390000
1,1945.310000
1,1952.680000
1,1946.690000
1,1946.320000
1,1947.010000
1,1947.300000
1,1950.370000
1,1955.080000
1,1946.250000
1,1946.650000
2,813.080000
2,1021.620000
2,810.050000
2,777.980000
2,831.100000
2,1219.430000
2,1021.210000
2,1023.370000
2,761.290000
2,1023.720000
3,492.800000
3,959.770000
3,1417.230000
3,635.010000
3,678.500000
3,558.700000
3,1840.830000
3,535.920000
3,1431.270000
3,655.690000
4,504.480000
4,1304.730000
4,708.570000
4,561.330000
4,1142.950000
4,381.220000
4,487.480000
4,781.610000
4,463.110000
4,488.780000
5,664.280000
5,450.710000
5,437.740000
5,383.170000
5,363.250000
5,862.710000
5,335.080000
5,491.960000
5,833.740000
5,335.280000
6,384.900000
6,555.610000
6,431.210000
6,624.350000
6,380.080000
6,967.950000
6,521.150000
6,350.120000
6,305.470000
6,342.600000
7,397.950000
7,318.620000
7,440.170000
7,249.180000
7,454.820000
7,327.980000
7,259.380000
7,303.050000
7,445.810000
7,518.790000
8,396.100000
8,302.330000
8,400.620000
8,267.970000
8,425.980000
8,255.100000
8,597.710000
8,374.390000
8,267.560000
8,310.430000
9,286.240000
9,244.440000
9,242.080000
9,374.220000
9,337.750000
9,249.860000
9,319.120000
9,246.450000
9,258.130000
9,294.310000
10,227.090000
10,373.520000
10,390.260000
10,316.820000
10,327.830000
10,215.960000
10,241.440000
10,285.620000
10,180.370000
10,393.520000
11,201.700000
11,239.070000
11,415.570000
11,384.250000
11,238.230000
11,238.230000
11,155.920000
11,221.360000
11,209.560000
11,254.780000
12,168.350000
12,336.840000
12,222.950000
12,220.400000
12,214.850000
12,156.320000
12,165.600000
12,287.940000
12,202.750000
12,196.350000
13,465.320000
13,249.910000
13,452.380000
13,443.630000
13,234.060000
13,644.100000
13,281.220000
13,249.550000
13,276.810000
13,344.240000
14,261.780000
14,373.610000
14,1875.100000
14,196.090000
14,310.460000
14,331.410000
14,435.430000
14,443.460000
14,286.510000
14,469.660000
15,424.240000
15,303.750000
15,450.470000
15,293.110000
15,244.820000
15,309.090000
15,233.640000
15,318.690000
15,208.440000
15,367.420000
16,543.900000
16,314.650000
16,199.130000
16,224.050000
16,191.060000
16,229.720000
16,368.330000
16,182.590000
16,293.350000
16,226.830000
17,201.930000
17,234.000000
17,209.030000
17,200.520000
17,233.570000
17,326.690000
17,208.030000
17,219.100000
17,182.870000
17,297.170000
18,233.400000
18,336.550000
18,218.080000
18,219.010000
18,226.580000
18,261.640000
18,180.300000
18,263.610000
18,205.530000
19,331.270000
19,221.970000
19,239.180000
19,217.070000
19,228.040000
19,191.280000
19,415.320000
19,217.490000
19,551.670000
19,202.580000
20,225.030000
20,236.370000
20,167.920000
20,281.290000
20,320.860000
20,183.590000
20,236.000000
20,364.820000
20,251.690000
20,404.100000
21,221.870000
21,319.770000
21,250.130000
21,204.910000
