NumNodes,NumProcessors,Time
1,1,146.28000021
1,1,146.319999933
1,1,146.529999971
1,1,146.350000143
1,1,146.379999876
1,1,146.279999971
1,1,146.389999866
1,1,146.310000181
1,1,146.309999943
1,1,146.440000057
1,1,117.980357
1,1,117.808769
1,1,117.786458
1,1,117.819882
1,1,117.808040
1,1,117.792673
1,1,117.765623
1,1,117.790610
1,1,117.790749
1,1,117.760952
1,2,59.444893
1,2,59.454887
1,2,59.435634
1,2,59.453360
1,2,59.457608
1,2,59.552917
1,2,59.504976
1,2,59.448184
1,2,59.455712
1,2,59.473907
1,3,40.091320
1,3,41.986280
1,3,40.195125
1,3,40.036780
1,3,40.248098
1,3,41.299736
1,3,58.012741
1,3,41.924172
1,3,40.026645
1,3,57.923431
1,4,30.557174
1,4,30.310192
1,4,33.310453
1,4,30.242845
1,4,30.720811
1,4,34.637186
1,4,30.294754
1,4,30.338978
1,4,30.290565
1,4,30.333968
1,5,25.552044
1,5,25.619693
1,5,25.528080
1,5,35.118960
1,5,25.551514
1,5,35.131005
1,5,25.590879
1,5,25.753517
1,5,36.896835
1,5,25.559432
1,6,21.491972
1,6,21.589108
1,6,24.913258
1,6,21.483258
1,6,21.582611
1,6,21.571488
1,6,21.589949
1,6,21.513075
1,6,21.510570
1,6,21.650156
1,7,23.147071
1,7,25.397945
1,7,26.887694
1,7,18.842969
1,7,19.136615
1,7,18.945866
1,7,22.231931
1,7,18.556892
1,7,18.704373
1,7,18.622632
1,8,23.403211
1,8,24.595444
1,8,16.649500
1,8,16.379032
1,8,17.208644
1,8,16.467559
1,8,17.044090
1,8,23.661637
1,8,24.709275
1,8,23.427085
1,9,16.149480
1,9,21.005585
1,9,15.493157
1,9,22.012469
1,9,20.983595
1,9,20.894005
1,9,21.919580
1,9,16.012994
1,9,15.388383
1,9,15.969561
1,10,19.941211
1,10,19.174736
1,10,14.033767
1,10,14.458815
1,10,14.172077
1,10,19.934074
1,10,18.351446
1,10,15.504603
1,10,19.859085
1,10,19.910320
1,11,18.247497
1,11,14.952297
1,11,18.071656
1,11,14.822459
1,11,13.036651
1,11,13.770035
1,11,14.209910
1,11,13.382806
1,11,18.166852
1,11,18.430324
1,12,11.952438
1,12,20.475623
1,12,16.831025
1,12,12.744670
1,12,16.700286
1,12,16.912259
1,12,16.932706
1,12,16.717539
1,12,16.752792
1,12,12.408741
2,1,59.741312
2,1,59.646708
2,1,59.713011
2,1,59.581758
2,1,59.603230
2,1,59.599569
2,1,59.591574
2,1,59.580948
2,1,59.639009
2,1,59.677233
2,2,30.432918
2,2,30.463528
2,2,30.494692
2,2,30.369769
2,2,30.397380
2,2,30.384108
2,2,31.986462
2,2,38.163697
2,2,30.482755
2,2,30.418660
2,3,20.936770
2,3,20.796880
2,3,21.096928
2,3,20.788304
2,3,20.837090
2,3,20.720776
